,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
940,"My @kkwbeauty Body Collection is restocking in 10 minutes at 9am pst!!! Shop my Body Foundation, Liquid Shimmers, Powders Shimmers &amp; Brush at https://t.co/aIjp1MBlpZ ✨ #kkwbeauty https://t.co/bjYAkmePEP",1902,87,2019,62585119,1989,0.0,206
941,Thank you for sending this! ✨💕 https://t.co/aPSIQwoRIG,12731,315,2019,62585119,13046,0.02,54
942,🙋🏻‍♀️ nice to meet you! And thank you! https://t.co/x7XtViMTRJ,3833,121,2019,62585119,3954,0.01,62
943,I love this! https://t.co/bTpQ7uqLM7,4339,110,2019,62585119,4449,0.01,36
944,"🔥 The @kkwbeauty Sooo Fire Collection includes a 10-pan metallic eyeshadow palette, 3 eyeliners &amp; 3 glosses w a brand new formula. I wanted to create something that was fun, and completely different than what we have done before. I’m so excited to see all of the looks you create https://t.co/ch1u4ZMXEO",3793,239,2019,62585119,4032,0.01,307
945,"So excited to announce my new @kkwbeauty Sooo Fire Collection!!!🔥 Coming to https://t.co/aIjp1MBlpZ on Friday, 07.19 at 12pm pst #kkwbeauty https://t.co/SDzu4ul2gM",6961,442,2019,62585119,7403,0.01,163
946,"We haven’t renamed it, but do you guys like the name Solutionwear?    Any other names your liking?       ***Kim Kardashian renames her figure fixing brand Solutionwear
*** https://t.co/YOJ620q8yE",12139,497,2019,62585119,12636,0.02,196
947,"My @kkwbeauty Body Foundation, Liquid Shimmers, Powder Shimmers &amp; brush are back!!!! The Body Collection is being restocked on Tuesday, 07.09 9:00 am PST at https://t.co/aIjp1MBlpZ #kkwbeauty ✨ https://t.co/3v7nesjy4S",1506,84,2019,62585119,1590,0.0,221
948,Have you ever seen cheeks like this! OMG I want to eat them!!!!! https://t.co/BqUJr5AJOm,165224,8844,2019,62585119,174068,0.28,88
949,Solutionwear https://t.co/bBsPi8AIXZ,34160,1671,2019,62585119,35831,0.06,36
950,https://t.co/0Z6wkV7Bji https://t.co/W7JtJ3Ab0k,9079,481,2019,62585119,9560,0.02,47
951,"WALL STREET JOURNAL MAGAZINE @wsjmag
Photographer: Daniel Jackson
stylist: @georgecortina
writer: @BinkleyOnStyle 
Hair: @ChrisAppleton1 
Make Up: @maryphillips

Read All about my new Shapewear Brand. https://t.co/0Z6wkV7Bji https://t.co/QDHEWteksE",3781,258,2019,62585119,4039,0.01,255
952,Excited for Revenge Body tonight!!!!! https://t.co/GIoWvFT8Ar,10561,444,2019,62585119,11005,0.02,61
953,✨ @kkwbeauty 4th of July Sale is over tonight! https://t.co/PoBZ3bhjs8 https://t.co/N4HhJ4LKqj,4621,209,2019,62585119,4830,0.01,94
954,Today is the last day to shop my @kkwbeauty 4th of July Sale!! ✨ Ends tonight at 11:59pm pst at https://t.co/aIjp1MBlpZ #kkwbeauty https://t.co/kOu46aBfVP,1928,72,2019,62585119,2000,0.0,154
