,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
142,Si se enojaron cuando le dijimos Alaba. No creo que les guste que ahora es Neuer🤷🏻‍♂️,21,4,2019,1898,25,1.32,85
143,Primer lugar tabla general; candidato CCL. A (1pt) del liderato. Máximo goleador. Que bonito que es volver a verte Olimpia. Y vamos por mas🇱🇺🦁 https://t.co/hs3dmGS3qz,110,8,2019,1898,118,6.22,166
144,https://t.co/1qQpUKaHI3,28,14,2019,1898,42,2.21,23
145,"Bengzy 🎩 (⚽️,⚽️,⚽️.)",21,11,2019,1898,32,1.69,20
146,. https://t.co/ciwlnL3VeV,64,17,2019,1898,81,4.27,25
147,Aplauso de pie a todo el nuevo trabajo de mercadeo que se está haciendo👏🏼. ¡Saquen sus banderas!🇱🇺🇱🇺🇱🇺 https://t.co/d8Rb8Hz48o,47,12,2019,1898,59,3.11,126
148,El león es experto en dominar cualquier circumstancia que se le presente.. ¡El Jueves cueste lo que cueste! 🦁🇱🇺,24,6,2019,1898,30,1.58,111
149,"Si quisieramos salir adelante implementaramos AI en Bancos, Gobierno, Agricultura, y hasta fútbol. Como siempre, la excusa es: o muy caro, o a la gente no le gusta porque pierden sus empleos.. https://t.co/bvXrZD3Kb8",15,2,2019,1898,17,0.9,216
150,¡Vamos mi león! 🇱🇺,61,10,2019,1898,71,3.74,18
151,"Telegrama entre presidentes del Real España y Olimpia. Se refiere a la canción del España en aquel '77 -
""España campeón, la biblia lo dice.""

El fútbol no era de insultos, si no de bromas. Era un juego. https://t.co/5F2xcqqQUV",144,34,2019,1898,178,9.38,230
152,Otra semana que juega el león.. Otra semana que La Ultra Fiel entrega espectáculo en la cancha y en la escuela también. Lo aplaudo de pie👏🏼 https://t.co/Q4lBPd9031,57,12,2019,1898,69,3.64,163
153,"Que fiesta en Danlí! He podido estar en estadios enormes, y probablemente muy caros... Pero parecen bibliotecas. A veces los detalles cuentan👏🏼.",50,8,2019,1898,58,3.06,144
154,PUM💥! EG3 (Alaba),10,4,2019,1898,14,0.74,17
155,Eso significa que Olimpia 1-0 Santos?! 😅 https://t.co/C3EA0l7WYu,19,2,2019,1898,21,1.11,64
156,Que esto sea costumbre en todos los equipos de Honduras👏🏼 https://t.co/L81FQ2KIQB,64,2,2019,1898,66,3.48,81
157,El fútbol es de goles 💃🏻🕺🏻,44,5,2019,1898,49,2.58,26
158,"Dia 3: Será que cambiamos de tema?

Alineación contra Juticalpa:",18,3,2019,1898,21,1.11,66
159,"Sin Donis perdemos la identidad y peso histórico, sin Edrick perdemos juventúd y futuro. Keosseian toma una decisión acertada y justa anunciando que se rotarán el puesto de aquí en adelante. 

¡Vamos Olimpia que juntos somos enormes🇱🇺!",119,22,2019,1898,141,7.43,237
160,Donis Escober. Hoy recordamos el peso de ese nombre.,167,25,2019,1898,192,10.12,52
161,Noo Güity no la maltrate así😂,32,5,2019,1898,37,1.95,29
162,"Lacayo nos pone a 1 punto del liderato; lo peleamos en 7 días. Aún queda mucho por mejorar pero me gusta el dinamismo. Edwin respondió bien al titularismo, Chavasco cada semana impresiona mas. ¡Vamos Olimpia!🇱🇺🦁",62,9,2019,1898,71,3.74,211
163,"Extranjeros 2-0 AntiOlimpistas

#Bonfigli ⚽️",44,10,2019,1898,54,2.85,46
164,Cuátro grandes Olimpistas de paseo por el parque. https://t.co/Xt3UEhxaQz,207,36,2019,1898,243,12.8,73
165,"Y en 90 minutos Chavasco demuestra que tiene ambición y que está de acorde con el compromiso de jugar en un equipo grande. Esperemos que Bonfigli y Bonjour también cumplan. 

Extranjeros 1-0 Antiolimpismo",85,13,2019,1898,98,5.16,206
166,Que el jugador del Olimpia sepa cada véz que salte a la cancha que es un deber cumplirle a los millones de aficionados en todo el mundo; aficionados que viajan de todas partes a pedir que sientan la camiseta. 💪🏼🇱🇺🦁 https://t.co/H6DId66fyK,67,15,2019,1898,82,4.32,238
167,"Puede usted creer que se atreven a comparar😂. Compare y compruebe.

#ElMásGrandeDeCa  🌎 https://t.co/18XaPQXLBJ",80,17,2019,1898,97,5.11,113
168,"En caso de emergencia, llamar al 9-11. https://t.co/nySL2Qc84Z",280,60,2019,1898,340,17.91,62
169,Alejandro! Buen gol de un muy buen jugador y aún mejor muchacho👍🏼 Merecido. Vamos Olimpia!,25,6,2019,1898,31,1.63,90
