,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance
108,"Primer cambio en  Olimpia a los 59:

sale :Jorge Alvarez
Entra: Elmer Guity",19,1,2019,196452,20,0.01
109,"Gol del Vida a los 49 minutos.

Vida 🇦🇹 2- Olimpia 🇱🇺 0 

#SomosOlimpia",41,4,2019,196452,45,0.02
110,"🕐Arranca el segundo tiempo en el Ceibeño:

Vida 🇦🇹 1 - Olimpia 🇱🇺 0 

#SomosOlimpia",13,1,2019,196452,14,0.01
111,"🕐Finaliza el primer tiempo en el Ceibeño:

Vida 🇦🇹 1 - Olimpia 🇱🇺 0 

#SomosOlimpia https://t.co/PtwPLI9ZNn",28,2,2019,196452,30,0.02
112,"🕐36 minutos del primer tiempo :

Vida 🇦🇹 1 - Olimpia 🇱🇺 0 

#SomosOlimpia",15,0,2019,196452,15,0.01
113,"Gol del Vida a los 21 minutos del primer tiempo :

Vida 🇦🇹 1 - Olimpia 🇱🇺 0 

#SomosOlimpia",46,3,2019,196452,49,0.02
114,"🕐15 minutos del primer tiempo :

Vida 🇦🇹 0 - Olimpia 🇱🇺 0 

#SomosOlimpia",13,0,2019,196452,13,0.01
115,"🕐 10 minutos del primer tiempo :

Vida 🇦🇹 0 - Olimpia 🇱🇺 0 

#SomosOlimpia",13,0,2019,196452,13,0.01
116,"🕐5 minutos del primer tiempo :

Vida 🇦🇹 0 - Olimpia 🇱🇺 0 

#SomosOlimpia",19,0,2019,196452,19,0.01
117,"🕐Inicia el partido en el Ceibeño 🏟️:

Vida 🇦🇹 0 - Olimpia 🇱🇺 0 

#SomosOlimpia https://t.co/e1sMxaGnRl",67,10,2019,196452,77,0.04
118,"Así sale el 🦁 esta noche ante el @cdsvida 🥥🏝️

#SomosOlimpia https://t.co/1YZvTMMYpw",217,51,2019,196452,268,0.14
119,"¡Juntos, siempre juntos!
🔴⚪🔵🔴⚪🔵🔴⚪🔵 https://t.co/vTYBJ0PUaa",752,141,2019,196452,893,0.45
120,¡Hoy juega Olimpia! 🇱🇺 https://t.co/Lqs58iruTy,362,54,2019,196452,416,0.21
121,"En el día de la música nos acordamos de los que cantan mejor. 🎵🎶🎤

#DiadelaMusica
#DiaDelMusico
#SomosOlimpia https://t.co/KdGm2Kfoss",276,42,2019,196452,318,0.16
122,Declaraciones Prof. Pedro Troglio (2) previo a primer juego del Pentagonal Vrs @cdsvida. 🎥🎙️🇱🇺🇦🇹 https://t.co/qDOLC5tfSB,125,22,2019,196452,147,0.07
